"peaks","time","vol","treatment","Event","peak_red","time_diff","vol_red","City","Soil","Rain"
943.898498535156,49,8248.84880817843,"20%","50yr",0.541947730611564,0,2.65323974856736,"Tampa","med",9.54
1048.10729980469,49,10253.4176606554,"1%","100yr",0.0170944888555694,0,0.287244988411813,"Tampa","med",11.4
1047.00451660156,49,10187.1626471652,"5%","100yr",0.122293134850947,0,0.931563804545359,"Tampa","med",11.4
1045.64099121094,49,10148.0914776997,"10%","100yr",0.252364960816008,0,1.31152432872093,"Tampa","med",11.4
1044.21557617188,49,10074.1957349756,"15%","100yr",0.388340673599716,0,2.03014794618241,"Tampa","med",11.4
1042.92810058594,49,9960.64622597431,"20%","100yr",0.51115782207362,0,3.13439774341611,"Tampa","med",11.4
6.20448160171509,50,282.895298740574,"1%","1_month",16.2239491987162,5,4.17316685016481,"Elko","med",0.2875
2.18734335899353,81,253.004268607613,"5%","1_month",70.4653829076972,160,14.2983360204544,"Elko","med",0.2875
2.15857863426208,82,252.006879540973,"10%","1_month",70.8537787794362,165,14.6361876429446,"Elko","med",0.2875
2.15940356254578,82,249.731720702526,"15%","1_month",70.8426401802367,165,15.4068659376065,"Elko","med",0.2875
2.16389966011047,82,248.739143461678,"20%","1_month",70.7819315953513,165,15.7430876212841,"Elko","med",0.2875
17.1368350982666,49,419.526305459756,"1%","6_month",0.205849717377324,0,3.04721329556828,"Elko","med",0.575
10.6924381256104,49,372.663528993162,"5%","6_month",37.7339648146153,0,13.877229702201,"Elko","med",0.575
4.47861862182617,54,338.364006161477,"10%","6_month",73.9193417429639,25,21.8038704822585,"Elko","med",0.575
4.43973445892334,54,337.45980567456,"15%","6_month",74.1457786535187,25,22.0128317697993,"Elko","med",0.575
4.40895080566406,54,335.548404987103,"20%","6_month",74.3250432903077,25,22.4545576419222,"Elko","med",0.575
72.1797332763672,49,860.477815413141,"1%","2yr",-0.0684029182565559,0,1.61068640703194,"Elko","med",1.15
71.9125213623047,49,807.766166011942,"5%","2yr",0.302053832789928,0,7.63787608007082,"Elko","med",1.15
58.8175392150879,49,743.885310754568,"10%","2yr",18.4566505628406,0,14.9421823479634,"Elko","med",1.15
52.2319755554199,50,699.008306412925,"15%","2yr",27.5867319281489,5,20.0735379438808,"Elko","med",1.15
46.3200798034668,51,664.366007024639,"20%","2yr",35.7828548460881,10,24.0346302545048,"Elko","med",1.15
147.32160949707,49,1363.16976989043,"1%","10yr",0.0541505781513649,0,1.01440002001172,"Elko","med",1.72
146.966445922852,49,1309.92738594912,"5%","10yr",0.295100464798501,0,4.88055773213495,"Elko","med",1.72
145.334625244141,49,1245.57302820789,"10%","10yr",1.40215939793584,0,9.5536034913983,"Elko","med",1.72
135.772064208984,49,1193.03022829408,"15%","10yr",7.8895870643161,0,13.3689614086413,"Elko","med",1.72
120.85912322998,50,1122.08560194302,"20%","10yr",18.0068166996201,5,18.5205548196953,"Elko","med",1.72
235.387924194336,49,1863.51611782133,"1%","50yr",0.0623477302128718,0,0.743742201614386,"Elko","med",2.36
234.765563964844,49,1809.86512186015,"5%","50yr",0.326580572294376,0,3.60134940733504,"Elko","med",2.36
233.901077270508,49,1748.15344185132,"10%","50yr",0.693612020258866,0,6.88829195725443,"Elko","med",2.36
231.949279785156,49,1685.47898567449,"15%","50yr",1.52227839751563,0,10.2265147502689,"Elko","med",2.36
226.191635131836,49,1643.58359526413,"20%","50yr",3.96677715940398,0,12.4579844066711,"Elko","med",2.36
272.864196777344,49,2078.94470824969,"1%","100yr",0.0743864182202021,0,0.662641226649745,"Elko","med",2.64
272.060455322266,49,2025.18480714763,"5%","100yr",0.368724623849028,0,3.23142843979829,"Elko","med",2.64
270.956848144531,49,1961.2204173128,"10%","100yr",0.772876673442953,0,6.28781253530919,"Elko","med",2.64
269.731475830078,49,1899.13741563619,"15%","100yr",1.2216203409303,0,9.25429903531286,"Elko","med",2.64
266.718536376953,49,1849.46161226375,"20%","100yr",2.32498907561241,0,11.6279374886973,"Elko","med",2.64
11.0702056884766,41,435.970779342589,"1%","1_month",0.758014242412377,0,3.10058413882333,"Los_Angeles","med",0.61
6.39381504058838,44,383.771590607821,"5%","1_month",42.6808390872777,15,14.7024417322462,"Los_Angeles","med",0.61
3.57491850852966,55,349.334925016162,"10%","1_month",67.9516332675422,70,22.3563785054177,"Los_Angeles","med",0.61
3.5264585018158,55,348.674841489938,"15%","1_month",68.3860666856237,70,22.5030895033592,"Los_Angeles","med",0.61
3.50406408309937,56,346.548369856287,"20%","1_month",68.5868277776799,75,22.975721773478,"Los_Angeles","med",0.61
34.128059387207,41,845.651772225288,"1%","6_month",-0.0692484291590583,0,1.6600681818393,"Los_Angeles","med",1.22
34.1319274902344,41,791.216202341811,"5%","6_month",-0.0805903621532895,0,7.9903218472898,"Los_Angeles","med",1.22
