"event","vol","dur","avg_int","max_int","start","end","delta","year","RI","peak_out","peak_baseline","vol_out","vol_baseline","sub_peak","sub_vol","peak_red","vol_red","city","soil","ratio","rain"
39,0.58,11,0.0527272727272727,0.58,1999-06-14 10:00:00,1999-06-14 20:00:00,20,1999,NA,20.0595092773438,18.806324005127,223.806293606758,225.018632769585,-2.87310138383783,7.6265642785796,-6.66363757146349,0.538772788681884,"New_Orleans","low",0.1,"Dry"
42,0.18,3,0.06,0.18,1999-06-17 00:00:00,1999-06-17 02:00:00,11,1999,NA,2.12275338172913,6.21046924591064,56.1564559936523,70.9325510263443,50.8073583215063,52.7179273102034,65.8197585773913,20.8311907846147,"New_Orleans","low",0.1,"Dry"
45,0.31,2,0.155,0.31,1999-06-23 16:00:00,1999-06-23 17:00:00,25,1999,NA,2.11110973358154,11.0271015167236,35.6981723308563,59.3366082692519,51.4091164654463,53.9828010474327,80.8552616444145,39.8378616976747,"New_Orleans","low",0.1,"Dry"
47,5.34,27,0.197777777777778,5.34,1999-06-25 17:00:00,1999-06-26 19:00:00,13,1999,1.83673469387755,234.829956054688,234.729522705078,4394.06525051594,4413.91102044284,0.0101152414880254,1.05395170062937,-0.042786841830528,0.449618713086666,"New_Orleans","low",0.1,"Dry"
50,0.5,6,0.0833333333333333,0.5,1999-07-03 09:00:00,1999-07-03 14:00:00,18,1999,NA,8.39460945129395,12.5743112564087,106.654572725296,127.412169575691,28.6572340841152,35.6840594718308,33.2400059127254,16.2916909110976,"New_Orleans","low",0.1,"Dry"
54,0.25,3,0.0833333333333333,0.25,1999-07-05 14:00:00,1999-07-05 16:00:00,6,1999,NA,3.07939648628235,8.61421585083008,57.8903943300247,86.0737567543983,-1.13953570651519,44.3296265940694,64.2521555112226,32.7432698270527,"New_Orleans","low",0.1,"Dry"
58,0.54,3,0.18,0.54,1999-07-12 12:00:00,1999-07-12 14:00:00,28,1999,NA,20.2728805541992,20.0875663757324,159.301819831133,192.238498624414,-2.02548075954357,19.4775957155204,-0.922531754223214,17.1332376339618,"New_Orleans","low",0.1,"Dry"
59,0.88,1,0.88,0.88,1999-07-16 12:00:00,1999-07-16 12:00:00,94,1999,NA,115.374114990234,112.463935852051,467.930299192667,487.753531506285,-2.15752157656794,1.68397322398065,-2.58765542583536,4.06419042265051,"New_Orleans","low",0.1,"Dry"
61,0.21,2,0.105,0.21,1999-07-19 13:00:00,1999-07-19 14:00:00,9,1999,NA,1.93844127655029,7.11366558074951,42.3537236452103,56.074834138155,52.0908195161642,53.3590418824989,72.7504581914005,24.4692841340184,"New_Orleans","low",0.1,"Dry"
63,0.76,1,0.76,0.76,1999-07-24 13:00:00,1999-07-24 13:00:00,95,1999,NA,80.7286911010742,84.0081939697266,329.236561998725,360.37272170349,-0.253469408647024,6.43858761000081,3.90378927778659,8.63998794292308,"New_Orleans","low",0.1,"Dry"
67,1.8,6,0.3,1.8,1999-08-09 13:00:00,1999-08-09 18:00:00,24,1999,NA,180.593841552734,180.866363525391,1829.55521120099,1862.7901709287,0.00656720889026904,3.03933107508025,0.150675873249363,1.78414940374829,"New_Orleans","low",0.1,"Dry"
68,0.99,6,0.165,0.99,1999-08-10 10:00:00,1999-08-10 15:00:00,16,1999,NA,72.8121719360352,71.828125,541.421320617199,537.730816274881,-0.109001757059023,2.71816908147657,-1.37000226030563,-0.686310739615682,"New_Orleans","low",0.1,"Dry"
69,0.22,1,0.22,0.22,1999-08-12 13:00:00,1999-08-12 13:00:00,46,1999,NA,2.04332423210144,8.82143783569336,38.2353059649467,59.6313276290894,51.9577768233824,54.5185326742453,76.8368346503137,35.8805052894801,"New_Orleans","low",0.1,"Dry"
